customer_id,name,email,region,signup_date,is_valid_email
C001,Arun Singh,arun.singh@outlook.com,South,2023-05-17,True
C002,Ritika Kumar,ritika.kumar@gmail.com,Unknown,2022-07-11,True
C003,Kunal Bhatt,kunal.bhatt@yahoo.com,Unknown,2024-07-08,True
C004,Saurabh Desai,saurabh.desai@,Unknown,2023-03-17,True
C005,Anjali Khanna,anjali.khanna@hotmail.com,North,2022-09-13,True
C006,Sumit Nair,sumit.nair@gmail.com,South,2022-04-04,True
C007,Bharti Desai,bharti.desai@hotmail.com,East,2024-01-18,True
C008,Pooja Banerjee,poojabanerjeegmail,South,2024-12-29,False
C009,Piyush Pillai,piyush.pillai@outlook.com,North,2022-04-25,True
C010,Roshni Bhatia,roshni.bhatia@outlook.com,West,2023-03-12,True
C011,Vinod Sethi,vinod.sethi@rediffmail.com,Central,2023-06-23,True
C012,Latha Arora,lathaaroragmail,North,2022-07-06,False
C013,Ajay Saxena,ajay.saxena@rediffmail.com,East,2024-08-16,True
C014,Bhavna Anand,bhavna.anand@outlook.com,East,2023-11-28,True
C015,Rajesh Arora,rajesh.arora@yahoo.com,East,2024-11-05,True
C016,Anita Dubey,anita.dubey@rediffmail.com,East,2022-01-02,True
C017,Shweta Iyer,shweta.iyer@,North,2023-05-09,True
C018,Suresh Yadav,suresh.yadav@hotmail.com,Central,2022-12-05,True
C019,Sunil Bhatia,sunil.bhatia@outlook.com,East,2024-03-28,True
C020,Saurabh Singh,,South,2023-04-17,False
C021,Vikram Malhotra,vikram.malhotra@gmail.com,East,2024-11-18,True
C022,Sumit Patil,sumit.patil@hotmail.com,Unknown,2023-05-13,True
C023,Nikhil Khanna,nikhil.khanna@gmail.com,West,2022-07-21,True
C024,Bhavna Trivedi,bhavna.trivedi@yahoo.com,East,2024-05-14,True
C025,Ankita Verma,ankitavermagmail,South,2022-01-31,False
C026,Neha Tiwari,neha.tiwari@hotmail.com,East,2022-01-05,True
C027,Piyush Ghosh,piyush.ghosh@hotmail.com,Unknown,2022-11-14,True
C028,Manish Patel,manishpatelgmail,Central,2024-09-03,False
C029,Chhaya Mehta,chhaya.mehta@yahoo.com,Central,2024-04-06,True
C030,Megha Patil,megha.patil@rediffmail.com,South,2023-10-10,True
C031,Gaurav Chauhan,gaurav.chauhan@outlook.com,West,2022-05-29,True
C032,Nidhi Menon,nidhi.menon@yahoo.com,South,2023-12-16,True
C033,Jyoti Das,jyoti.das@rediffmail.com,Central,2022-01-17,True
C034,Arun Verma,arun.verma@rediffmail.com,East,2022-11-15,True
C035,Rajesh Arora,rajesh.arora@hotmail.com,North,2023-05-30,True
C036,Suresh Mukerjee,suresh.mukerjee@outlook.com,West,2022-11-27,True
C037,Ramesh Dubey,rameshdubeygmail,Central,2024-01-27,False
C038,Anjali Pandey,anjali.pandey@yahoo.com,North,2023-05-27,True
C039,Ramesh Iyer,rameshiyergmail,North,2022-12-29,False
C040,Vinod Desai,vinod.desai@yahoo.com,North,2022-08-10,True
C041,Shweta Pillai,shweta.pillai@yahoo.com,South,2022-02-18,True
C042,Priyanka Das,priyanka.das@rediffmail.com,Unknown,2024-03-29,True
C043,Megha Menon,megha.menon@gmail.com,West,2022-08-11,True
C044,Arun Saxena,arun.saxena@rediffmail.com,Unknown,2023-01-25,True
C045,Sunil Kapoor,sunil.kapoor@hotmail.com,East,2022-05-24,True
C046,Nidhi Bose,nidhi.bose@hotmail.com,East,2023-10-31,True
C047,Geeta Chatterjee,geeta.chatterjee@rediffmail.com,Central,2023-09-09,True
C048,Tushar Das,tushar.das@outlook.com,West,2024-08-10,True
C049,Prakash Ghosh,prakash.ghosh@gmail.com,Central,2023-08-05,True
C050,Nisha Nair,nisha.nair@yahoo.com,South,2022-02-20,True
C051,Sumit Nair,sumitnairgmail,South,2024-10-09,False
C052,Sunita Mathur,sunita.mathur@hotmail.com,Central,2023-03-25,True
C053,Latha Chauhan,latha.chauhan@rediffmail.com,Central,2023-10-12,True
C054,Aakash Tiwari,aakash.tiwari@hotmail.com,South,2024-07-10,True
