customer_id,name,email,region,signup_date
C091,  Rekha Desai  ,rekha.desai@rediffmail.com,West,26/09/2022
C096,Isha Mishra,isha.mishra@hotmail.com,East,18/09/2024
C119,Chhaya Singh,chhaya.singh@gmail.com,South,2023-11-15
C086,Sneha Gupta,sneha.gupta@yahoo.com,East,02-12-2022
C023,Nikhil Khanna,nikhil.khanna@gmail.com,West,2022-07-21
C134,Aryan Rao,aryanraogmail,East,09/05/2024
C178,Vikram Banerjee,vikram.banerjee@yahoo.com,,10/07/2024
C003,Kunal Bhatt,kunal.bhatt@yahoo.com,,07-08-2024
C029,Chhaya Mehta,chhaya.mehta@yahoo.com,Central,2024-04-06
C094,Vinod Chauhan,vinod.chauhan@rediffmail.com,South,24/10/2022
C022,Sumit Patil,SUMIT.PATIL@HOTMAIL.COM,,13/05/2023
C098,Ajay Ghosh,ajay.ghosh@yahoo.com,South,2024-10-11
C046,Nidhi Bose,nidhi.bose@hotmail.com,East,31/10/2023
C085,Naveen Desai,naveen.desai@rediffmail.com,North,08/10/2024
C063,Arun Patil,arun.patil@yahoo.com,East,08-10-2024
C100,Rajesh Malhotra,rajesh.malhotra@rediffmail.com,North,03-25-2024
C152,Ramesh Malhotra,ramesh.malhotra@gmail.com,East,17/10/2022
C056,Ramesh Pillai,,South,11-09-2022
C018,Suresh Yadav,suresh.yadav@hotmail.com,Central,05/12/2022
C059,Naveen Khanna,naveen.khanna@yahoo.com,Central,2024-08-15
C114,  Jyoti Pillai  ,jyoti.pillai@gmail.com,East,08-08-2024
C110,Vivek Sethi,vivek.sethi@hotmail.com,South,2022-12-26
C068,Poonam Chatterjee,poonam.chatterjee@rediffmail.com,West,17/09/2024
C092,Preeti Bhatia,preeti.bhatia@yahoo.com,,09-29-2023
C101,Manish Mukerjee,manish.mukerjee@hotmail.com,North,03-15-2022
C025,Ankita Verma,ankitavermagmail,South,2022-01-31
C128,Manish Shukla,manish.shukla@outlook.com,South,07/06/2023
C138,Latha Anand,,North,16/08/2023
C009,Piyush Pillai,piyush.pillai@outlook.com,North,2022-04-25
C029,Chhaya Mehta,chhaya.mehta@yahoo.com,Central,2024-04-06
C005,Anjali Khanna,anjali.khanna@hotmail.com,North,13/09/2022
C028,Manish Patel,manishpatelgmail,Central,09-03-2024
C112,Nisha Dutta,,West,2024-01-20
C001,Arun Singh,arun.singh@outlook.com,South,2023-05-17
C075,Nilesh Khanna,nilesh.khanna@rediffmail.com,East,12-10-2024
C179,Manish Das,manish.das@outlook.com,North,2023-05-27
C090,Kunal Chauhan,kunal.chauhan@hotmail.com,Central,2022-04-22
C143,Priyanka Pandey,priyanka.pandey@yahoo.com,South,2023-04-29
C113,Rajesh Naik,rajesh.naik@hotmail.com,South,2024-01-31
C079,Gaurav Gupta,gaurav.gupta@yahoo.com,West,08-31-2022
C115,Varun Joshi,varun.joshi@gmail.com,South,04-26-2023
C005,Anjali Khanna,anjali.khanna@hotmail.com,North,13/09/2022
C069,  Kavita Desai  ,kavita.desai@hotmail.com,Central,15/05/2023
C117,Hemant Rao,hemant.rao@,East,2024-06-29
C076,Gaurav Sharma,gaurav.sharma@rediffmail.com,North,17/09/2022
C067,Yash Rana,yash.rana@gmail.com,West,06/06/2024
C055,Preeti Desai,preeti.desai@hotmail.com,East,06-08-2022
C026,Neha Tiwari,neha.tiwari@hotmail.com,East,05/01/2022
C006,Sumit Nair,sumit.nair@gmail.com,South,04-04-2022
C002,Ritika Kumar,ritika.kumar@gmail.com,,2022-07-11
C053,Latha Chauhan,latha.chauhan@rediffmail.com,Central,12/10/2023
C020,Saurabh Singh,,South,04-17-2023
C056,Ramesh Pillai,,South,11-09-2022
C030,Megha Patil,megha.patil@rediffmail.com,South,10/10/2023
C140,Manish Patil,manish.patil@hotmail.com,West,04-08-2024
C168,Nidhi Chowdhury,nidhi.chowdhury@gmail.com,North,invalid-date
C020,Saurabh Singh,,South,04-17-2023
C049,Prakash Ghosh,prakash.ghosh@gmail.com,Central,08-05-2023
C141,Lalit Chauhan,lalit.chauhan@outlook.com,North,30/06/2022
C144,Pooja Reddy,pooja.reddy@hotmail.com,Central,08-08-2024
C161,Anita Desai,anita.desai@,West,2024-11-17
C037,Ramesh Dubey,rameshdubeygmail,Central,01-27-2024
C077,Isha Verma,isha.verma@gmail.com,West,06/08/2023
C162,Sneha Bhatt,sneha.bhatt@gmail.com,East,invalid-date
C097,Divya Sen,,West,2024-02-24
C146,Dinesh Arora,,West,28/09/2023
C006,Sumit Nair,sumit.nair@gmail.com,South,04-04-2022
C050,Nisha Nair,nisha.nair@yahoo.com,South,2022-02-20
C159,Shruti Chauhan,shruti.chauhan@outlook.com,Central,02-22-2024
C043,Megha Menon,megha.menon@gmail.com,West,08-11-2022
C013,  Ajay Saxena  ,ajay.saxena@rediffmail.com,East,08-16-2024
C167,Dinesh Iyer,dinesh.iyer@rediffmail.com,North,2024-05-03
C107,Ritu Singh,ritu.singh@hotmail.com,Central,2023-07-17
C149,Saurabh Bhatia,,South,10-30-2024
C035,  Rajesh Arora  ,rajesh.arora@hotmail.com,North,2023-05-30
C016,Anita Dubey,anita.dubey@rediffmail.com,East,01-02-2022
C021,Vikram Malhotra,vikram.malhotra@gmail.com,East,2024-11-18
